commune_code;commune;population_2020;departement_code;departement;region_code;region
57282;Hagen;365;57;Moselle;44;Grand Est
57283;Hagondange;9275;57;Moselle;44;Grand Est
57284;Hallering;109;57;Moselle;44;Grand Est
57286;Halstroff;320;57;Moselle;44;Grand Est
57287;Basse-Ham;2253;57;Moselle;44;Grand Est
57288;Ham-sous-Varsberg;2820;57;Moselle;44;Grand Est
57289;Hambach;2877;57;Moselle;44;Grand Est
57290;Hampont;185;57;Moselle;44;Grand Est
57291;Hangviller;268;57;Moselle;44;Grand Est
57292;Hannocourt;21;57;Moselle;44;Grand Est
57293;Han-sur-Nied;259;57;Moselle;44;Grand Est
57294;Hanviller;211;57;Moselle;44;Grand Est
57295;Haraucourt-sur-Seille;106;57;Moselle;44;Grand Est
57296;Hargarten-aux-Mines;1119;57;Moselle;44;Grand Est
57297;Harprich;167;57;Moselle;44;Grand Est
57298;Harreberg;402;57;Moselle;44;Grand Est
57299;Hartzviller;910;57;Moselle;44;Grand Est
57300;Haselbourg;313;57;Moselle;44;Grand Est
57301;Haspelschiedt;305;57;Moselle;44;Grand Est
57302;Hattigny;192;57;Moselle;44;Grand Est
57303;Hauconcourt;635;57;Moselle;44;Grand Est
57304;Haut-Clocher;341;57;Moselle;44;Grand Est
57305;Havange;448;57;Moselle;44;Grand Est
57306;Hayange;15776;57;Moselle;44;Grand Est
57307;Hayes;223;57;Moselle;44;Grand Est
57308;Hazembourg;133;57;Moselle;44;Grand Est
57309;Heining-lès-Bouzonville;488;57;Moselle;44;Grand Est
57310;Hellering-lès-Fénétrange;192;57;Moselle;44;Grand Est
57311;Hellimer;560;57;Moselle;44;Grand Est
57312;Helstroff;535;57;Moselle;44;Grand Est
57313;Hémilly;144;57;Moselle;44;Grand Est
57314;Héming;500;57;Moselle;44;Grand Est
57315;Henridorff;695;57;Moselle;44;Grand Est
57316;Henriville;757;57;Moselle;44;Grand Est
57317;Hérange;106;57;Moselle;44;Grand Est
57318;Hermelange;229;57;Moselle;44;Grand Est
57319;Herny;503;57;Moselle;44;Grand Est
57320;Hertzing;193;57;Moselle;44;Grand Est
57321;Hesse;576;57;Moselle;44;Grand Est
57322;Hestroff;454;57;Moselle;44;Grand Est
57323;Hettange-Grande;7636;57;Moselle;44;Grand Est
57324;Hilbesheim;611;57;Moselle;44;Grand Est
57325;Hilsprich;873;57;Moselle;44;Grand Est
57326;Hinckange;316;57;Moselle;44;Grand Est
57328;Holacourt;87;57;Moselle;44;Grand Est
57329;Holling;439;57;Moselle;44;Grand Est
57330;Holving;1304;57;Moselle;44;Grand Est
57331;Hombourg-Budange;563;57;Moselle;44;Grand Est
57332;Hombourg-Haut;6594;57;Moselle;44;Grand Est
57333;Hommarting;861;57;Moselle;44;Grand Est
57334;Hommert;340;57;Moselle;44;Grand Est
57335;Honskirch;226;57;Moselle;44;Grand Est
57336;L'Hôpital;5411;57;Moselle;44;Grand Est
57337;Hoste;620;57;Moselle;44;Grand Est
57338;Hottviller;529;57;Moselle;44;Grand Est
57339;Hultehouse;366;57;Moselle;44;Grand Est
57340;Hundling;1345;57;Moselle;44;Grand Est
57341;Hunting;732;57;Moselle;44;Grand Est
57342;Ibigny;100;57;Moselle;44;Grand Est
57343;Illange;1892;57;Moselle;44;Grand Est
57344;Imling;713;57;Moselle;44;Grand Est
57345;Inglange;432;57;Moselle;44;Grand Est
57346;Insming;578;57;Moselle;44;Grand Est
57347;Insviller;179;57;Moselle;44;Grand Est
57348;Ippling;761;57;Moselle;44;Grand Est
57349;Jallaucourt;162;57;Moselle;44;Grand Est
57350;Jouy-aux-Arches;1487;57;Moselle;44;Grand Est
57351;Jury;1034;57;Moselle;44;Grand Est
57352;Jussy;454;57;Moselle;44;Grand Est
57353;Juvelize;72;57;Moselle;44;Grand Est
57354;Juville;119;57;Moselle;44;Grand Est
57355;Kalhausen;853;57;Moselle;44;Grand Est
57356;Kanfen;1154;57;Moselle;44;Grand Est
57357;Kappelkinger;401;57;Moselle;44;Grand Est
57358;Kédange-sur-Canner;1090;57;Moselle;44;Grand Est
